title,type,tags
Curso a Distancia de Entrenamiento Físico para la Estética Corporal,Curso,"[{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":true,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":true,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""}]"
Curso de Fisiología del Ejercicio Aplicada,Curso,"[{""locale"":""es"",""name"":""Fisiología"",""principal"":true,""slug"":""fisiologia-del-ejercicio"",""uid"":""ts-M57cfb26556d10""},{""locale"":""en"",""name"":""Exercise Physiology"",""principal"":true,""slug"":""exercise-physiology"",""uid"":""ts-M57cfb26556d10""}]"
Taller Teórico Práctico de Entrenamiento de la Flexibilidad,Taller,"[{""locale"":""es"",""name"":""Fuerza y Potencia"",""principal"":false,""slug"":""entrenamiento-de-la-fuerza-y-potencia"",""uid"":""ts-R57cfb26551630""},{""locale"":""es"",""name"":""Velocidad y Agilidad"",""principal"":false,""slug"":""entrenamiento-de-la-velocidad-y-agilidad"",""uid"":""ts-q57cfb26551c42""},{""locale"":""es"",""name"":""Coordinación"",""principal"":false,""slug"":""entrenamiento-de-la-coordinacion"",""uid"":""ts-n57cfb26551eab""},{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":true,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""es"",""name"":""Prev. y Rehabilitación de Lesiones"",""principal"":false,""slug"":""prevencion-y-rehabilitacion-de-lesiones"",""uid"":""ts-j57cfb26557fdb""},{""locale"":""es"",""name"":""Adultos Mayores"",""principal"":false,""slug"":""actividad-fisica-y-entrenamiento-en-adultos-mayores"",""uid"":""ts-Y57cfb265585be""},{""locale"":""en"",""name"":""Strength \u0026 Power Training"",""principal"":false,""slug"":""power-strength-training"",""uid"":""ts-R57cfb26551630""},{""locale"":""en"",""name"":""Speed \u0026 Agility Training"",""principal"":false,""slug"":""speed-agility-training"",""uid"":""ts-q57cfb26551c42""},{""locale"":""en"",""name"":""Coordination Training"",""principal"":false,""slug"":""coordination-training"",""uid"":""ts-n57cfb26551eab""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":true,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Injury Prevention and Rehabilitation"",""principal"":false,""slug"":""injury-prevention-and-rehabilitation"",""uid"":""ts-j57cfb26557fdb""},{""locale"":""en"",""name"":""Physical Activity \u0026 Training in Older Adults"",""principal"":false,""slug"":""physical-activity-training-in-older-adults"",""uid"":""ts-Y57cfb265585be""}]"
Curso de Posgrado en Actividad Física en Adultos Mayores,Posgrado,"[{""locale"":""es"",""name"":""Adultos Mayores"",""principal"":true,""slug"":""actividad-fisica-y-entrenamiento-en-adultos-mayores"",""uid"":""ts-Y57cfb265585be""},{""locale"":""en"",""name"":""Physical Activity \u0026 Training in Older Adults"",""principal"":true,""slug"":""physical-activity-training-in-older-adults"",""uid"":""ts-Y57cfb265585be""}]"
Curso de Posgrado en Entrenamiento en Deportes Acíclicos,Posgrado,"[{""locale"":""es"",""name"":""Deportes de Equipo"",""principal"":true,""slug"":""entrenamiento-en-deportes-de-equipo"",""uid"":""ts-g57cfb265522f9""},{""locale"":""en"",""name"":""Team Sports Training"",""principal"":true,""slug"":""team-sports"",""uid"":""ts-g57cfb265522f9""}]"
Curso de Posgrado en Entrenamiento Funcional,Posgrado,"[{""locale"":""es"",""name"":""Fuerza y Potencia"",""principal"":false,""slug"":""entrenamiento-de-la-fuerza-y-potencia"",""uid"":""ts-R57cfb26551630""},{""locale"":""es"",""name"":""Velocidad y Agilidad"",""principal"":false,""slug"":""entrenamiento-de-la-velocidad-y-agilidad"",""uid"":""ts-q57cfb26551c42""},{""locale"":""es"",""name"":""Coordinación"",""principal"":false,""slug"":""entrenamiento-de-la-coordinacion"",""uid"":""ts-n57cfb26551eab""},{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":true,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""es"",""name"":""Prev. y Rehabilitación de Lesiones"",""principal"":false,""slug"":""prevencion-y-rehabilitacion-de-lesiones"",""uid"":""ts-j57cfb26557fdb""},{""locale"":""en"",""name"":""Strength \u0026 Power Training"",""principal"":false,""slug"":""power-strength-training"",""uid"":""ts-R57cfb26551630""},{""locale"":""en"",""name"":""Speed \u0026 Agility Training"",""principal"":false,""slug"":""speed-agility-training"",""uid"":""ts-q57cfb26551c42""},{""locale"":""en"",""name"":""Coordination Training"",""principal"":false,""slug"":""coordination-training"",""uid"":""ts-n57cfb26551eab""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":true,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Injury Prevention and Rehabilitation"",""principal"":false,""slug"":""injury-prevention-and-rehabilitation"",""uid"":""ts-j57cfb26557fdb""}]"
Curso de Posgrado de Ejercicio Físico Adaptado,Posgrado,"[{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":false,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""es"",""name"":""Prev. y Rehabilitación de Lesiones"",""principal"":true,""slug"":""prevencion-y-rehabilitacion-de-lesiones"",""uid"":""ts-j57cfb26557fdb""},{""locale"":""es"",""name"":""Niños y Adolescentes"",""principal"":false,""slug"":""actividad-fisica-y-entrenamiento-en-ninos-y-adolescentes"",""uid"":""ts-e57cfb26558457""},{""locale"":""es"",""name"":""Adultos Mayores"",""principal"":false,""slug"":""actividad-fisica-y-entrenamiento-en-adultos-mayores"",""uid"":""ts-Y57cfb265585be""},{""locale"":""es"",""name"":""Patologías"",""principal"":false,""slug"":""ejercicio-fisico-en-patologias"",""uid"":""ts-o57cfb26558809""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":false,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Injury Prevention and Rehabilitation"",""principal"":true,""slug"":""injury-prevention-and-rehabilitation"",""uid"":""ts-j57cfb26557fdb""},{""locale"":""en"",""name"":""Physical Activity \u0026 Training in Children \u0026 Adolescents"",""principal"":false,""slug"":""physical-activity-training-in-children-adolescents"",""uid"":""ts-e57cfb26558457""},{""locale"":""en"",""name"":""Physical Activity \u0026 Training in Older Adults"",""principal"":false,""slug"":""physical-activity-training-in-older-adults"",""uid"":""ts-Y57cfb265585be""},{""locale"":""en"",""name"":""Exercise \u0026 Diseases"",""principal"":false,""slug"":""exercise-diseases"",""uid"":""ts-o57cfb26558809""}]"
Curso de Posgrado en Entrenamiento en Niños y Adolescentes,Posgrado,"[{""locale"":""es"",""name"":""Niños y Adolescentes"",""principal"":true,""slug"":""actividad-fisica-y-entrenamiento-en-ninos-y-adolescentes"",""uid"":""ts-e57cfb26558457""},{""locale"":""en"",""name"":""Physical Activity \u0026 Training in Children \u0026 Adolescents"",""principal"":true,""slug"":""physical-activity-training-in-children-adolescents"",""uid"":""ts-e57cfb26558457""}]"
Curso de Posgrado en Entrenamiento en Fútbol,Posgrado,"[{""locale"":""es"",""name"":""Deportes de Equipo"",""principal"":false,""slug"":""entrenamiento-en-deportes-de-equipo"",""uid"":""ts-g57cfb265522f9""},{""locale"":""es"",""name"":""Fútbol"",""principal"":true,""slug"":""entrenamiento-en-futbol"",""uid"":""ts-457cfb265524e2""},{""locale"":""en"",""name"":""Team Sports Training"",""principal"":false,""slug"":""team-sports"",""uid"":""ts-g57cfb265522f9""},{""locale"":""en"",""name"":""Soccer Training"",""principal"":true,""slug"":""soccer-training"",""uid"":""ts-457cfb265524e2""}]"
Curso de Posgrado en Entrenamiento de Fuerza Orientado al Deporte Competitivo,Posgrado,"[{""locale"":""es"",""name"":""Fuerza y Potencia"",""principal"":true,""slug"":""entrenamiento-de-la-fuerza-y-potencia"",""uid"":""ts-R57cfb26551630""},{""locale"":""es"",""name"":""Fútbol"",""principal"":false,""slug"":""entrenamiento-en-futbol"",""uid"":""ts-457cfb265524e2""},{""locale"":""es"",""name"":""Entrenamiento en Básquetbol"",""principal"":false,""slug"":""entrenamiento-en-basquetbol"",""uid"":""ts-H57cfb2655268a""},{""locale"":""es"",""name"":""Rugby"",""principal"":false,""slug"":""entrenamiento-en-rugby"",""uid"":""ts-457cfb265530c3""},{""locale"":""es"",""name"":""Vóleibol"",""principal"":false,""slug"":""entrenamiento-en-voleibol"",""uid"":""ts-L57cfb26553220""},{""locale"":""es"",""name"":""Ciclismo"",""principal"":false,""slug"":""entrenamiento-en-ciclismo"",""uid"":""ts-H57cfb26553c1b""},{""locale"":""es"",""name"":""Natación"",""principal"":false,""slug"":""entrenamiento-en-natacion"",""uid"":""ts-857cfb2655452c""},{""locale"":""es"",""name"":""Atletismo"",""principal"":false,""slug"":""entrenamiento-en-atletismo"",""uid"":""ts-B57cfb265546db""},{""locale"":""es"",""name"":""Deportes de Combate"",""principal"":false,""slug"":""entrenamiento-deportes-combate"",""uid"":""ts-b57cfb26555064""},{""locale"":""en"",""name"":""Strength \u0026 Power Training"",""principal"":true,""slug"":""power-strength-training"",""uid"":""ts-R57cfb26551630""},{""locale"":""en"",""name"":""Soccer Training"",""principal"":false,""slug"":""soccer-training"",""uid"":""ts-457cfb265524e2""},{""locale"":""en"",""name"":""Basketball Training"",""principal"":false,""slug"":""basketball-training"",""uid"":""ts-H57cfb2655268a""},{""locale"":""en"",""name"":""Rugby Training"",""principal"":false,""slug"":""rugby-training"",""uid"":""ts-457cfb265530c3""},{""locale"":""en"",""name"":""Voleyball Training"",""principal"":false,""slug"":""voleyball-training"",""uid"":""ts-L57cfb26553220""},{""locale"":""en"",""name"":""Racquet Sports Training"",""principal"":false,""slug"":""racquet-sports-training"",""uid"":""ts-t57cfb265533e1""},{""locale"":""en"",""name"":""Cycling Training"",""principal"":false,""slug"":""cycling-training"",""uid"":""ts-H57cfb26553c1b""},{""locale"":""en"",""name"":""Swimming Training"",""principal"":false,""slug"":""swimming-training"",""uid"":""ts-857cfb2655452c""},{""locale"":""en"",""name"":""Athletics Training"",""principal"":false,""slug"":""athletics-training"",""uid"":""ts-B57cfb265546db""},{""locale"":""en"",""name"":""Fighting Sports Training"",""principal"":false,""slug"":""fighting-sports-training"",""uid"":""ts-b57cfb26555064""}]"
Curso a Distancia de Nutrición Deportiva,Curso,"[{""locale"":""es"",""name"":""Nutrición"",""principal"":true,""slug"":""nutricion-deportiva"",""uid"":""ts-t57cfb26556fbf""},{""locale"":""es"",""name"":""Suplementación"",""principal"":false,""slug"":""suplementacion-deportiva"",""uid"":""ts-V57cfb26557185""},{""locale"":""es"",""name"":""Hidratación"",""principal"":false,""slug"":""hidratacion-deportiva"",""uid"":""ts-C57cfb26557308""},{""locale"":""en"",""name"":""Sport Nutrition"",""principal"":true,""slug"":""sport-nutrition"",""uid"":""ts-t57cfb26556fbf""},{""locale"":""en"",""name"":""Sport Supplementation"",""principal"":false,""slug"":""sport-supplementation"",""uid"":""ts-V57cfb26557185""},{""locale"":""en"",""name"":""Sports Hydration"",""principal"":false,""slug"":""sport-hydration"",""uid"":""ts-C57cfb26557308""},{""locale"":""en"",""name"":""Anthropometry"",""principal"":false,""slug"":""anthropometry"",""uid"":""ts-o57cfb2655747c""}]"
"Taller de Actividad Física Adaptada al Embarazo, Parto y Post Parto",Taller,"[{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":true,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":true,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""}]"
Taller Teórico Práctico de Entrenamiento de la Estabilidad y la Propiocepción,Taller,"[{""locale"":""es"",""name"":""Velocidad y Agilidad"",""principal"":true,""slug"":""entrenamiento-de-la-velocidad-y-agilidad"",""uid"":""ts-q57cfb26551c42""},{""locale"":""es"",""name"":""Prev. y Rehabilitación de Lesiones"",""principal"":false,""slug"":""prevencion-y-rehabilitacion-de-lesiones"",""uid"":""ts-j57cfb26557fdb""},{""locale"":""en"",""name"":""Speed \u0026 Agility Training"",""principal"":true,""slug"":""speed-agility-training"",""uid"":""ts-q57cfb26551c42""},{""locale"":""en"",""name"":""Injury Prevention and Rehabilitation"",""principal"":false,""slug"":""injury-prevention-and-rehabilitation"",""uid"":""ts-j57cfb26557fdb""}]"
Webinar de Obesidad y Ejercicio,Webinar,"[{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":true,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":true,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""}]"
